"train/timestep","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - _step","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - train/reward","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - _step","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - train/reward","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - _step","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - train/reward","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - _step","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - train/reward","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - _step","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - train/reward","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - _step","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - train/reward","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - _step","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - train/reward","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - train/reward__MAX","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - _step","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - train/reward","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - train/reward__MAX","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - _step","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - train/reward","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - train/reward__MAX","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - _step","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - train/reward","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - train/reward__MAX","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - _step","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - train/reward","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - train/reward__MAX","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - _step","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - train/reward","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - train/reward__MAX"
"233000","233","233","233","4111.317018600001","4111.317018600001","4111.317018600001","233","233","233","4102.038149","4102.038149","4102.038149","233","233","233","4181.6075894000005","4181.6075894000005","4181.6075894000005","233","233","233","4297.1873156","4297.1873156","4297.1873156","233","233","233","4522.2896256","4522.2896256","4522.2896256","233","233","233","4584.46661","4584.46661","4584.46661","233","233","233","4256.6575012","4256.6575012","4256.6575012","233","233","233","5020.210790200001","5020.210790200001","5020.210790200001","233","233","233","4344.5809856","4344.5809856","4344.5809856","233","233","233","4609.5942414","4609.5942414","4609.5942414","233","233","233","5116.9112382","5116.9112382","5116.9112382","233","233","233","4431.6540712000005","4431.6540712000005","4431.6540712000005"
"234000","234","234","234","3894.7538598","3894.7538598","3894.7538598","234","234","234","4064.589327","4064.589327","4064.589327","234","234","234","4103.051612","4103.051612","4103.051612","234","234","234","4263.408262","4263.408262","4263.408262","234","234","234","4405.653640400001","4405.653640400001","4405.653640400001","234","234","234","4518.8784698","4518.8784698","4518.8784698","234","234","234","4388.4980292","4388.4980292","4388.4980292","234","234","234","4676.8735922000005","4676.8735922000005","4676.8735922000005","234","234","234","4411.0434692","4411.0434692","4411.0434692","234","234","234","4736.827719399999","4736.827719399999","4736.827719399999","234","234","234","5178.591817400001","5178.591817400001","5178.591817400001","234","234","234","4460.378017599999","4460.378017599999","4460.378017599999"
"235000","235","235","235","4647.2851878","4647.2851878","4647.2851878","235","235","235","4056.6271619999998","4056.6271619999998","4056.6271619999998","235","235","235","4081.4810618","4081.4810618","4081.4810618","235","235","235","4226.1977386","4226.1977386","4226.1977386","235","235","235","4414.616283","4414.616283","4414.616283","235","235","235","4544.1280694","4544.1280694","4544.1280694","235","235","235","4452.588689","4452.588689","4452.588689","235","235","235","4788.574005799999","4788.574005799999","4788.574005799999","235","235","235","4429.1118638","4429.1118638","4429.1118638","235","235","235","4726.7933446","4726.7933446","4726.7933446","235","235","235","5161.728169399999","5161.728169399999","5161.728169399999","235","235","235","4322.5870675999995","4322.5870675999995","4322.5870675999995"
"236000","236","236","236","4526.7463612","4526.7463612","4526.7463612","236","236","236","4145.6815713999995","4145.6815713999995","4145.6815713999995","236","236","236","4154.8973578000005","4154.8973578000005","4154.8973578000005","236","236","236","4238.2991136","4238.2991136","4238.2991136","236","236","236","4472.8700288","4472.8700288","4472.8700288","236","236","236","4504.7408802","4504.7408802","4504.7408802","236","236","236","4348.308463799999","4348.308463799999","4348.308463799999","236","236","236","5125.7662852","5125.7662852","5125.7662852","236","236","236","4416.49346","4416.49346","4416.49346","236","236","236","4774.4772044","4774.4772044","4774.4772044","236","236","236","5107.819017","5107.819017","5107.819017","236","236","236","4545.8066665999995","4545.8066665999995","4545.8066665999995"
"237000","237","237","237","4674.862926","4674.862926","4674.862926","237","237","237","4108.0425978","4108.0425978","4108.0425978","237","237","237","3933.9404501999998","3933.9404501999998","3933.9404501999998","237","237","237","4134.8732818","4134.8732818","4134.8732818","237","237","237","4563.142392600001","4563.142392600001","4563.142392600001","237","237","237","4745.2265164","4745.2265164","4745.2265164","237","237","237","4403.5304114","4403.5304114","4403.5304114","237","237","237","4800.9439065999995","4800.9439065999995","4800.9439065999995","237","237","237","4342.044117","4342.044117","4342.044117","237","237","237","4796.8490276","4796.8490276","4796.8490276","237","237","237","5134.1409754","5134.1409754","5134.1409754","237","237","237","4381.7977376","4381.7977376","4381.7977376"
"238000","238","238","238","3875.0492458","3875.0492458","3875.0492458","238","238","238","4232.6934366000005","4232.6934366000005","4232.6934366000005","238","238","238","3924.91855","3924.91855","3924.91855","238","238","238","4161.665803600001","4161.665803600001","4161.665803600001","238","238","238","4292.666895","4292.666895","4292.666895","238","238","238","4439.7968802000005","4439.7968802000005","4439.7968802000005","238","238","238","4350.933623","4350.933623","4350.933623","238","238","238","5069.2385402","5069.2385402","5069.2385402","238","238","238","4637.6727564","4637.6727564","4637.6727564","238","238","238","4723.573641999999","4723.573641999999","4723.573641999999","238","238","238","5180.5400108","5180.5400108","5180.5400108","238","238","238","4445.4009618","4445.4009618","4445.4009618"
"239000","239","239","239","4564.729752","4564.729752","4564.729752","239","239","239","4128.903198800001","4128.903198800001","4128.903198800001","239","239","239","4104.992124599999","4104.992124599999","4104.992124599999","239","239","239","4175.528939600001","4175.528939600001","4175.528939600001","239","239","239","4439.7769843999995","4439.7769843999995","4439.7769843999995","239","239","239","4729.9395268","4729.9395268","4729.9395268","239","239","239","4348.161585","4348.161585","4348.161585","239","239","239","5024.7910828","5024.7910828","5024.7910828","239","239","239","4525.018425200001","4525.018425200001","4525.018425200001","239","239","239","4791.6852898","4791.6852898","4791.6852898","239","239","239","5334.6308434","5334.6308434","5334.6308434","239","239","239","4248.138326800001","4248.138326800001","4248.138326800001"
"240000","240","240","240","4421.5549696","4421.5549696","4421.5549696","240","240","240","4214.579722200001","4214.579722200001","4214.579722200001","240","240","240","4013.2557759999995","4013.2557759999995","4013.2557759999995","240","240","240","4208.434299","4208.434299","4208.434299","240","240","240","4212.7073820000005","4212.7073820000005","4212.7073820000005","240","240","240","4651.0161484","4651.0161484","4651.0161484","240","240","240","4265.7652118","4265.7652118","4265.7652118","240","240","240","5066.5705161999995","5066.5705161999995","5066.5705161999995","240","240","240","4359.453727","4359.453727","4359.453727","240","240","240","4764.6533394","4764.6533394","4764.6533394","240","240","240","5305.7780196","5305.7780196","5305.7780196","240","240","240","4622.7713994","4622.7713994","4622.7713994"
"241000","241","241","241","4478.4479812","4478.4479812","4478.4479812","241","241","241","4219.595297000001","4219.595297000001","4219.595297000001","241","241","241","4081.4788874000005","4081.4788874000005","4081.4788874000005","241","241","241","4317.5618834","4317.5618834","4317.5618834","241","241","241","4308.099913","4308.099913","4308.099913","241","241","241","4711.1834368","4711.1834368","4711.1834368","241","241","241","4395.6901036","4395.6901036","4395.6901036","241","241","241","5213.2522694","5213.2522694","5213.2522694","241","241","241","4526.390004399999","4526.390004399999","4526.390004399999","241","241","241","4536.495284399999","4536.495284399999","4536.495284399999","241","241","241","5276.397232200001","5276.397232200001","5276.397232200001","241","241","241","4315.0669698","4315.0669698","4315.0669698"
"242000","242","242","242","4605.690053200001","4605.690053200001","4605.690053200001","242","242","242","4321.705414","4321.705414","4321.705414","242","242","242","4224.3294546","4224.3294546","4224.3294546","242","242","242","4097.8349376","4097.8349376","4097.8349376","242","242","242","4575.177968","4575.177968","4575.177968","242","242","242","4753.4571052","4753.4571052","4753.4571052","242","242","242","4401.5213924","4401.5213924","4401.5213924","242","242","242","5124.972635","5124.972635","5124.972635","242","242","242","4352.9607138","4352.9607138","4352.9607138","242","242","242","4871.315638599999","4871.315638599999","4871.315638599999","242","242","242","5232.583859","5232.583859","5232.583859","242","242","242","4438.4659176000005","4438.4659176000005","4438.4659176000005"
"243000","243","243","243","4392.857103","4392.857103","4392.857103","243","243","243","4219.7921708","4219.7921708","4219.7921708","243","243","243","4190.9570206","4190.9570206","4190.9570206","243","243","243","4155.0871682","4155.0871682","4155.0871682","243","243","243","4298.2838501999995","4298.2838501999995","4298.2838501999995","243","243","243","4629.35663","4629.35663","4629.35663","243","243","243","4382.2824724","4382.2824724","4382.2824724","243","243","243","5063.6443614","5063.6443614","5063.6443614","243","243","243","4532.597250999999","4532.597250999999","4532.597250999999","243","243","243","4803.847867","4803.847867","4803.847867","243","243","243","5194.582224","5194.582224","5194.582224","243","243","243","4521.2964328","4521.2964328","4521.2964328"
"244000","244","244","244","4176.9998346","4176.9998346","4176.9998346","244","244","244","4357.9051832000005","4357.9051832000005","4357.9051832000005","244","244","244","4130.2923022","4130.2923022","4130.2923022","244","244","244","4326.1904056","4326.1904056","4326.1904056","244","244","244","4116.0630034000005","4116.0630034000005","4116.0630034000005","244","244","244","4613.463748","4613.463748","4613.463748","244","244","244","4358.4538738","4358.4538738","4358.4538738","244","244","244","5314.4401800000005","5314.4401800000005","5314.4401800000005","244","244","244","4687.770955400001","4687.770955400001","4687.770955400001","244","244","244","4697.930182599999","4697.930182599999","4697.930182599999","244","244","244","5031.354082400001","5031.354082400001","5031.354082400001","244","244","244","4412.4082752","4412.4082752","4412.4082752"
"245000","245","245","245","4679.635614000001","4679.635614000001","4679.635614000001","245","245","245","4414.66201","4414.66201","4414.66201","245","245","245","4090.6581032000004","4090.6581032000004","4090.6581032000004","245","245","245","4349.0653002","4349.0653002","4349.0653002","245","245","245","4449.833920200001","4449.833920200001","4449.833920200001","245","245","245","4570.929780799999","4570.929780799999","4570.929780799999","245","245","245","4270.732141","4270.732141","4270.732141","245","245","245","5224.864594799999","5224.864594799999","5224.864594799999","245","245","245","4612.4277821999995","4612.4277821999995","4612.4277821999995","245","245","245","4792.0884393999995","4792.0884393999995","4792.0884393999995","245","245","245","5244.5631812","5244.5631812","5244.5631812","245","245","245","4458.7570908","4458.7570908","4458.7570908"
"246000","246","246","246","4717.265084000001","4717.265084000001","4717.265084000001","246","246","246","4382.4279342","4382.4279342","4382.4279342","246","246","246","4325.9177998","4325.9177998","4325.9177998","246","246","246","4240.827980800001","4240.827980800001","4240.827980800001","246","246","246","4477.5656144","4477.5656144","4477.5656144","246","246","246","4679.633241","4679.633241","4679.633241","246","246","246","4170.453179599999","4170.453179599999","4170.453179599999","246","246","246","5209.202451200001","5209.202451200001","5209.202451200001","246","246","246","4489.4959856000005","4489.4959856000005","4489.4959856000005","246","246","246","4519.6209757999995","4519.6209757999995","4519.6209757999995","246","246","246","5201.7075168","5201.7075168","5201.7075168","246","246","246","4295.8299774","4295.8299774","4295.8299774"
"247000","247","247","247","4755.6814546000005","4755.6814546000005","4755.6814546000005","247","247","247","4327.068507999999","4327.068507999999","4327.068507999999","247","247","247","4289.7617549999995","4289.7617549999995","4289.7617549999995","247","247","247","4080.8774188","4080.8774188","4080.8774188","247","247","247","4544.3069118","4544.3069118","4544.3069118","247","247","247","4680.509054200001","4680.509054200001","4680.509054200001","247","247","247","4271.5985454","4271.5985454","4271.5985454","247","247","247","5156.342582800001","5156.342582800001","5156.342582800001","247","247","247","4549.167478400001","4549.167478400001","4549.167478400001","247","247","247","4635.3114218","4635.3114218","4635.3114218","247","247","247","5314.8739178000005","5314.8739178000005","5314.8739178000005","247","247","247","4418.1442184","4418.1442184","4418.1442184"
"248000","248","248","248","4615.8213054","4615.8213054","4615.8213054","248","248","248","4335.1386134","4335.1386134","4335.1386134","248","248","248","4276.6987524","4276.6987524","4276.6987524","248","248","248","4172.4808608","4172.4808608","4172.4808608","248","248","248","4583.6046772","4583.6046772","4583.6046772","248","248","248","4798.1809232","4798.1809232","4798.1809232","248","248","248","4414.103409","4414.103409","4414.103409","248","248","248","5109.8001134","5109.8001134","5109.8001134","248","248","248","4576.3475902","4576.3475902","4576.3475902","248","248","248","4811.7872168","4811.7872168","4811.7872168","248","248","248","5088.8173994","5088.8173994","5088.8173994","248","248","248","4758.5270506","4758.5270506","4758.5270506"
"249000","249","249","249","4662.8549392","4662.8549392","4662.8549392","249","249","249","4195.07838","4195.07838","4195.07838","249","249","249","4381.494757","4381.494757","4381.494757","249","249","249","4175.7095768","4175.7095768","4175.7095768","249","249","249","4694.9977493999995","4694.9977493999995","4694.9977493999995","249","249","249","4777.4210522","4777.4210522","4777.4210522","249","249","249","4346.3344594","4346.3344594","4346.3344594","249","249","249","5208.001797","5208.001797","5208.001797","249","249","249","4612.079075199999","4612.079075199999","4612.079075199999","249","249","249","4862.3282248000005","4862.3282248000005","4862.3282248000005","249","249","249","5271.1931572","5271.1931572","5271.1931572","249","249","249","4427.3654504","4427.3654504","4427.3654504"
"250000","250","250","250","4769.832873599999","4769.832873599999","4769.832873599999","250","250","250","4079.6294594","4079.6294594","4079.6294594","250","250","250","4220.749399400001","4220.749399400001","4220.749399400001","250","250","250","4373.851412999999","4373.851412999999","4373.851412999999","250","250","250","4463.1259032","4463.1259032","4463.1259032","250","250","250","4771.1901081999995","4771.1901081999995","4771.1901081999995","250","250","250","4470.6917468","4470.6917468","4470.6917468","250","250","250","5244.9307276","5244.9307276","5244.9307276","250","250","250","4413.8114028","4413.8114028","4413.8114028","250","250","250","4782.676452199999","4782.676452199999","4782.676452199999","250","250","250","5218.568267600001","5218.568267600001","5218.568267600001","250","250","250","4403.7560966","4403.7560966","4403.7560966"
"251000","251","251","251","4572.3372464","4572.3372464","4572.3372464","251","251","251","4159.4171148","4159.4171148","4159.4171148","251","251","251","4199.401993","4199.401993","4199.401993","251","251","251","4263.7499536","4263.7499536","4263.7499536","251","251","251","4320.3556532","4320.3556532","4320.3556532","251","251","251","4647.9614726","4647.9614726","4647.9614726","251","251","251","4365.4179832","4365.4179832","4365.4179832","251","251","251","5280.5544762","5280.5544762","5280.5544762","251","251","251","4619.632066","4619.632066","4619.632066","251","251","251","4750.5164144","4750.5164144","4750.5164144","251","251","251","5223.5629994","5223.5629994","5223.5629994","251","251","251","4439.8763808","4439.8763808","4439.8763808"
"252000","252","252","252","4634.5636982","4634.5636982","4634.5636982","252","252","252","4173.781208","4173.781208","4173.781208","252","252","252","4334.4728382","4334.4728382","4334.4728382","252","252","252","4357.483983","4357.483983","4357.483983","252","252","252","4509.0148956","4509.0148956","4509.0148956","252","252","252","4681.641335800001","4681.641335800001","4681.641335800001","252","252","252","4417.473180999999","4417.473180999999","4417.473180999999","252","252","252","5333.7279622","5333.7279622","5333.7279622","252","252","252","4650.593134199999","4650.593134199999","4650.593134199999","252","252","252","4672.6568126","4672.6568126","4672.6568126","252","252","252","5247.3652174","5247.3652174","5247.3652174","252","252","252","4647.759520199999","4647.759520199999","4647.759520199999"
"253000","253","253","253","3994.2054130000006","3994.2054130000006","3994.2054130000006","253","253","253","4220.9475724","4220.9475724","4220.9475724","253","253","253","4235.783707199999","4235.783707199999","4235.783707199999","253","253","253","4397.0892754","4397.0892754","4397.0892754","253","253","253","4229.2950094","4229.2950094","4229.2950094","253","253","253","4759.3354798","4759.3354798","4759.3354798","253","253","253","4413.841887","4413.841887","4413.841887","253","253","253","5273.3863038","5273.3863038","5273.3863038","253","253","253","4740.326660799999","4740.326660799999","4740.326660799999","253","253","253","4776.7915816","4776.7915816","4776.7915816","253","253","253","5422.5480024","5422.5480024","5422.5480024","253","253","253","4571.1262982","4571.1262982","4571.1262982"
"254000","254","254","254","4674.260827","4674.260827","4674.260827","254","254","254","4198.2583012000005","4198.2583012000005","4198.2583012000005","254","254","254","4443.211286","4443.211286","4443.211286","254","254","254","4211.6715116","4211.6715116","4211.6715116","254","254","254","4680.9059376000005","4680.9059376000005","4680.9059376000005","254","254","254","4653.549019000001","4653.549019000001","4653.549019000001","254","254","254","4373.270421200001","4373.270421200001","4373.270421200001","254","254","254","5230.0892533999995","5230.0892533999995","5230.0892533999995","254","254","254","4673.9506266","4673.9506266","4673.9506266","254","254","254","4839.1544308","4839.1544308","4839.1544308","254","254","254","5090.5976646","5090.5976646","5090.5976646","254","254","254","4515.971983400001","4515.971983400001","4515.971983400001"
"255000","255","255","255","4724.6081238","4724.6081238","4724.6081238","255","255","255","4288.4030346","4288.4030346","4288.4030346","255","255","255","4392.259736","4392.259736","4392.259736","255","255","255","4144.6306096","4144.6306096","4144.6306096","255","255","255","4529.1963577999995","4529.1963577999995","4529.1963577999995","255","255","255","4037.774353399999","4037.774353399999","4037.774353399999","255","255","255","2934.7483154","2934.7483154","2934.7483154","255","255","255","5199.3023946","5199.3023946","5199.3023946","255","255","255","4646.654391200001","4646.654391200001","4646.654391200001","255","255","255","4578.435072200001","4578.435072200001","4578.435072200001","255","255","255","5116.106587599999","5116.106587599999","5116.106587599999","255","255","255","4648.0839328","4648.0839328","4648.0839328"
"256000","256","256","256","4448.2827108","4448.2827108","4448.2827108","256","256","256","4255.9333982","4255.9333982","4255.9333982","256","256","256","4417.9192988","4417.9192988","4417.9192988","256","256","256","4186.854213799999","4186.854213799999","4186.854213799999","256","256","256","4557.1988496","4557.1988496","4557.1988496","256","256","256","4654.097036","4654.097036","4654.097036","256","256","256","4311.6987242000005","4311.6987242000005","4311.6987242000005","256","256","256","5260.9868248","5260.9868248","5260.9868248","256","256","256","4610.204708","4610.204708","4610.204708","256","256","256","4786.458054000001","4786.458054000001","4786.458054000001","256","256","256","5346.1408716","5346.1408716","5346.1408716","256","256","256","4637.608234","4637.608234","4637.608234"
"257000","257","257","257","4259.937662599999","4259.937662599999","4259.937662599999","257","257","257","4179.2292714","4179.2292714","4179.2292714","257","257","257","4484.5368984","4484.5368984","4484.5368984","257","257","257","4128.997093","4128.997093","4128.997093","257","257","257","4663.6428044","4663.6428044","4663.6428044","257","257","257","4599.3622766","4599.3622766","4599.3622766","257","257","257","4510.6274302","4510.6274302","4510.6274302","257","257","257","5217.4560106","5217.4560106","5217.4560106","257","257","257","4715.0638984","4715.0638984","4715.0638984","257","257","257","4723.308613","4723.308613","4723.308613","257","257","257","5093.4320615999995","5093.4320615999995","5093.4320615999995","257","257","257","4867.1703748","4867.1703748","4867.1703748"
"258000","258","258","258","4756.8612416","4756.8612416","4756.8612416","258","258","258","4112.393778799999","4112.393778799999","4112.393778799999","258","258","258","4309.5018752000005","4309.5018752000005","4309.5018752000005","258","258","258","4216.6781638","4216.6781638","4216.6781638","258","258","258","4618.7010955999995","4618.7010955999995","4618.7010955999995","258","258","258","4796.3154016","4796.3154016","4796.3154016","258","258","258","4299.7478676","4299.7478676","4299.7478676","258","258","258","5109.5913146","5109.5913146","5109.5913146","258","258","258","4628.264476599999","4628.264476599999","4628.264476599999","258","258","258","4680.6316412","4680.6316412","4680.6316412","258","258","258","5273.968581","5273.968581","5273.968581","258","258","258","4717.6066254","4717.6066254","4717.6066254"
"259000","259","259","259","4788.296292","4788.296292","4788.296292","259","259","259","4258.8747336","4258.8747336","4258.8747336","259","259","259","4385.757184","4385.757184","4385.757184","259","259","259","4254.7825402","4254.7825402","4254.7825402","259","259","259","4420.6974598","4420.6974598","4420.6974598","259","259","259","4617.0553504","4617.0553504","4617.0553504","259","259","259","4278.1314622","4278.1314622","4278.1314622","259","259","259","5329.4364254","5329.4364254","5329.4364254","259","259","259","4702.624241799999","4702.624241799999","4702.624241799999","259","259","259","4797.745739800001","4797.745739800001","4797.745739800001","259","259","259","5214.3950026","5214.3950026","5214.3950026","259","259","259","4610.76823","4610.76823","4610.76823"
"260000","260","260","260","3510.031149000001","3510.031149000001","3510.031149000001","260","260","260","4318.5475458","4318.5475458","4318.5475458","260","260","260","4368.026114","4368.026114","4368.026114","260","260","260","4324.1467424","4324.1467424","4324.1467424","260","260","260","4476.0427256","4476.0427256","4476.0427256","260","260","260","4684.0608948","4684.0608948","4684.0608948","260","260","260","4336.3298736","4336.3298736","4336.3298736","260","260","260","5283.563639","5283.563639","5283.563639","260","260","260","4647.6955192000005","4647.6955192000005","4647.6955192000005","260","260","260","4735.053152400001","4735.053152400001","4735.053152400001","260","260","260","5227.639119","5227.639119","5227.639119","260","260","260","4634.670407","4634.670407","4634.670407"
"261000","261","261","261","4710.389586","4710.389586","4710.389586","261","261","261","4146.8442476","4146.8442476","4146.8442476","261","261","261","4277.1733808","4277.1733808","4277.1733808","261","261","261","4315.4418766","4315.4418766","4315.4418766","261","261","261","4518.2097946","4518.2097946","4518.2097946","261","261","261","4651.7401214","4651.7401214","4651.7401214","261","261","261","4413.258364400001","4413.258364400001","4413.258364400001","261","261","261","5347.434276800001","5347.434276800001","5347.434276800001","261","261","261","4777.759956","4777.759956","4777.759956","261","261","261","4865.4684152","4865.4684152","4865.4684152","261","261","261","5276.8843284","5276.8843284","5276.8843284","261","261","261","4427.7117868000005","4427.7117868000005","4427.7117868000005"
"262000","262","262","262","4743.518306","4743.518306","4743.518306","262","262","262","4149.95591","4149.95591","4149.95591","262","262","262","4365.7743418","4365.7743418","4365.7743418","262","262","262","4290.562147799999","4290.562147799999","4290.562147799999","262","262","262","4519.604931600001","4519.604931600001","4519.604931600001","262","262","262","4545.6660928","4545.6660928","4545.6660928","262","262","262","4544.931934599999","4544.931934599999","4544.931934599999","262","262","262","5428.3874332000005","5428.3874332000005","5428.3874332000005","262","262","262","4746.331322","4746.331322","4746.331322","262","262","262","4799.813403599999","4799.813403599999","4799.813403599999","262","262","262","5278.441930200001","5278.441930200001","5278.441930200001","262","262","262","4534.575544599999","4534.575544599999","4534.575544599999"
"263000","263","263","263","4720.1150022","4720.1150022","4720.1150022","263","263","263","4078.1022746000003","4078.1022746000003","4078.1022746000003","263","263","263","4397.7711814","4397.7711814","4397.7711814","263","263","263","4306.5523518","4306.5523518","4306.5523518","263","263","263","4508.7995928","4508.7995928","4508.7995928","263","263","263","4589.0564298","4589.0564298","4589.0564298","263","263","263","4395.397995","4395.397995","4395.397995","263","263","263","5248.818535","5248.818535","5248.818535","263","263","263","4530.238074400001","4530.238074400001","4530.238074400001","263","263","263","4811.280799999999","4811.280799999999","4811.280799999999","263","263","263","5315.3258472","5315.3258472","5315.3258472","263","263","263","4610.124587","4610.124587","4610.124587"
"264000","264","264","264","4855.5981914","4855.5981914","4855.5981914","264","264","264","4149.2154537999995","4149.2154537999995","4149.2154537999995","264","264","264","4265.248876600001","4265.248876600001","4265.248876600001","264","264","264","4353.9648402","4353.9648402","4353.9648402","264","264","264","4376.1644856","4376.1644856","4376.1644856","264","264","264","4719.9811974","4719.9811974","4719.9811974","264","264","264","4549.8122378","4549.8122378","4549.8122378","264","264","264","4940.3160288","4940.3160288","4940.3160288","264","264","264","4845.18291","4845.18291","4845.18291","264","264","264","4844.0157112","4844.0157112","4844.0157112","264","264","264","5242.6597056","5242.6597056","5242.6597056","264","264","264","4804.1214748","4804.1214748","4804.1214748"
"265000","265","265","265","4708.464668399999","4708.464668399999","4708.464668399999","265","265","265","4320.789553200001","4320.789553200001","4320.789553200001","265","265","265","4172.4763942","4172.4763942","4172.4763942","265","265","265","4423.509746999999","4423.509746999999","4423.509746999999","265","265","265","4603.7778246","4603.7778246","4603.7778246","265","265","265","4660.7577398","4660.7577398","4660.7577398","265","265","265","4435.923059399999","4435.923059399999","4435.923059399999","265","265","265","5272.8082612","5272.8082612","5272.8082612","265","265","265","4833.2142115999995","4833.2142115999995","4833.2142115999995","265","265","265","4876.473469","4876.473469","4876.473469","265","265","265","5251.7562114","5251.7562114","5251.7562114","265","265","265","4554.1396583999995","4554.1396583999995","4554.1396583999995"
